id,stream,college_name,placement_status,salary
78,Computer Science,University of Rochester,Placed,62000
79,Electrical Engineering,University of California--Santa Cruz,Placed,60000
80,Mechanical Engineering,University of Connecticut,Placed,61000
81,Computer Science,University of California--Riverside,Not Placed,0
82,Electronics and Communication,University of Delaware,Placed,65000
83,Information Technology,University of California--San Francisco,Placed,66000
84,Computer Science,University of Texas--Dallas,Placed,63000
85,Electrical Engineering,University of Virginia,Placed,64000
86,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0
87,Computer Science,University of California--San Diego,Placed,65000
88,Electronics and Communication,University of Texas--Austin,Placed,66000
89,Information Technology,University of California--Los Angeles,Placed,67000
90,Computer Science,University of Michigan--Ann Arbor,Placed,68000
91,Electrical Engineering,University of Pennsylvania,Not Placed,0
92,Mechanical Engineering,University of Washington,Placed,67000
93,Computer Science,University of California--Berkeley,Placed,66000
94,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000
95,Information Technology,University of Colorado--Boulder,Placed,66000
96,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
97,Information Technology,University of Maryland--College Park,Placed,63000
98,Computer Science,University of Rochester,Placed,62000
99,Electrical Engineering,University of California--Santa Cruz,Placed,60000
100,Mechanical Engineering,University of Connecticut,Placed,61000
101,Computer Science,University of California--Riverside,Not Placed,0
102,Electronics and Communication,University of Delaware,Placed,65000
103,Information Technology,University of California--San Francisco,Placed,66000
104,Computer Science,University of Texas--Dallas,Placed,63000
105,Electrical Engineering,University of Virginia,Placed,64000
106,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0
107,Computer Science,University of California--San Diego,Placed,65000
108,Electronics and Communication,University of Texas--Austin,Placed,66000
109,Information Technology,University of California--Los Angeles,Placed,67000
110,Computer Science,University of Michigan--Ann Arbor,Placed,68000
111,Electrical Engineering,University of Pennsylvania,Not Placed,0
112,Mechanical Engineering,University of Washington,Placed,67000
113,Computer Science,University of California--Berkeley,Placed,66000
114,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000
115,Information Technology,University of Colorado--Boulder,Placed,66000
116,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
117,Information Technology,University of Maryland--College Park,Placed,63000
118,Computer Science,University of Rochester,Placed,62000
119,Electrical Engineering,University of California--Santa Cruz,Placed,60000
120,Mechanical Engineering,University of Connecticut,Placed,61000
121,Computer Science,University of California--Riverside,Not Placed,0
122,Electronics and Communication,University of Delaware,Placed,65000
123,Information Technology,University of California--San Francisco,Placed,66000
124,Computer Science,University of Texas--Dallas,Placed,63000
125,Electrical Engineering,University of Virginia,Placed,64000
126,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0
127,Computer Science,University of California--San Diego,Placed,65000
128,Electronics and Communication,University of Texas--Austin,Placed,66000
129,Information Technology,University of California--Los Angeles,Placed,67000
130,Computer Science,University of Michigan--Ann Arbor,Placed,68000
131,Electrical Engineering,University of Pennsylvania,Not Placed,0
132,Mechanical Engineering,University of Washington,Placed,67000
133,Computer Science,University of California--Berkeley,Placed,66000
134,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000
135,Information Technology,University of Colorado--Boulder,Placed,66000
136,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
137,Information Technology,University of Maryland--College Park,Placed,63000
138,Computer Science,University of Rochester,Placed,62000
139,Electrical Engineering,University of California--Santa Cruz,Placed,60000
140,Mechanical Engineering,University of Connecticut,Placed,61000
141,Computer Science,University of California--Riverside,Not Placed,0
142,Electronics and Communication,University of Delaware,Placed,65000
143,Information Technology,University of California--San Francisco,Placed,66000
144,Computer Science,University of Texas--Dallas,Placed,63000
145,Electrical Engineering,University of Virginia,Placed,64000
146,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0
147,Computer Science,University of California--San Diego,Placed,65000
148,Electronics and Communication,University of Texas--Austin,Placed,66000
149,Information Technology,University of California--Los Angeles,Placed,67000
150,Computer Science,University of Michigan--Ann Arbor,Placed,68000
151,Electrical Engineering,University of Pennsylvania,Not Placed,0
152,Mechanical Engineering,University of Washington,Placed,67000
153,Computer Science,University of California--Berkeley,Placed,66000
154,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000
155,Information Technology,University of Colorado--Boulder,Placed,66000
156,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
157,Information Technology,University of Maryland--College Park,Placed,63000
158,Computer Science,University of Rochester,Placed,62000
159,Electrical Engineering,University of California--Santa Cruz,Placed,60000
160,Mechanical Engineering,University of Connecticut,Placed,61000
161,Computer Science,University of California--Riverside,Not Placed,0
162,Electronics and Communication,University of Delaware,Placed,65000
163,Information Technology,University of California--San Francisco,Placed,66000
164,Computer Science,University of Texas--Dallas,Placed,63000
165,Electrical Engineering,University of Virginia,Placed,64000
166,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0
167,Computer Science,University of California--San Diego,Placed,65000
168,Electronics and Communication,University of Texas--Austin,Placed,66000
169,Information Technology,University of California--Los Angeles,Placed,67000
170,Computer Science,University of Michigan--Ann Arbor,Placed,68000
171,Electrical Engineering,University of Pennsylvania,Not Placed,0
172,Mechanical Engineering,University of Washington,Placed,67000
173,Computer Science,University of California--Berkeley,Placed,66000
174,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000
175,Information Technology,University of Colorado--Boulder,Placed,66000
176,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
177,Information Technology,University of Maryland--College Park,Placed,63000
178,Computer Science,University of Rochester,Placed,62000
179,Electrical Engineering,University of California--Santa Cruz,Placed,60000
180,Mechanical Engineering,University of Connecticut,Placed,61000
181,Computer Science,University of California--Riverside,Not Placed,0
182,Electronics and Communication,University of Delaware,Placed,65000
183,Information Technology,University of California--San Francisco,Placed,66000
184,Computer Science,University of Texas--Dallas,Placed,63000
185,Electrical Engineering,University of Virginia,Placed,64000
186,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0
187,Computer Science,University of California--San Diego,Placed,65000
188,Electronics and Communication,University of Texas--Austin,Placed,66000
189,Information Technology,University of Maryland--College Park,Placed,61000
190,Computer Science,University of Michigan--Ann Arbor,Placed,64000
191,Electrical Engineering,University of California--Los Angeles,Placed,66000
192,Mechanical Engineering,University of Virginia,Placed,67000
193,Electronics and Communication,University of Texas--Austin,Placed,68000
194,Computer Science,University of Pennsylvania,Not Placed,0
195,Information Technology,University of Washington,Placed,67000
196,Electrical Engineering,University of California--Berkeley,Placed,66000
197,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
198,Electronics and Communication,University of Colorado--Boulder,Placed,66000
199,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
200,Information Technology,University of Maryland--College Park,Placed,63000
201,Computer Science,University of Michigan--Ann Arbor,Placed,64000
202,Electrical Engineering,University of California--Los Angeles,Placed,66000
203,Mechanical Engineering,University of Virginia,Placed,67000
204,Electronics and Communication,University of Texas--Austin,Placed,68000
205,Computer Science,University of Pennsylvania,Not Placed,0
206,Information Technology,University of Washington,Placed,67000
207,Electrical Engineering,University of California--Berkeley,Placed,66000
208,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
209,Electronics and Communication,University of Colorado--Boulder,Placed,66000
210,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
211,Information Technology,University of Maryland--College Park,Placed,63000
212,Electrical Engineering,University of Michigan--Ann Arbor,Placed,64000
213,Mechanical Engineering,University of California--Los Angeles,Placed,66000
214,Electronics and Communication,University of Virginia,Placed,67000
215,Computer Science,University of Texas--Austin,Placed,68000
216,Information Technology,University of Pennsylvania,Not Placed,0
217,Electrical Engineering,University of Washington,Placed,67000
218,Mechanical Engineering,University of California--Berkeley,Placed,66000
219,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000
220,Computer Science,University of Colorado--Boulder,Placed,66000
221,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0
222,Electrical Engineering,University of Maryland--College Park,Placed,63000
223,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,64000
224,Electronics and Communication,University of California--Los Angeles,Placed,66000
225,Computer Science,University of Virginia,Placed,67000
226,Information Technology,University of Texas--Austin,Placed,68000
227,Electrical Engineering,University of Pennsylvania,Not Placed,0
228,Mechanical Engineering,University of Washington,Placed,67000
229,Electronics and Communication,University of California--Berkeley,Placed,66000
230,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
231,Information Technology,University of Colorado--Boulder,Placed,66000
232,Electrical Engineering,University of North Carolina--Chapel Hill,Not Placed,0
233,Mechanical Engineering,University of Maryland--College Park,Placed,63000
234,Electronics and Communication,University of Michigan--Ann Arbor,Placed,64000
235,Computer Science,University of California--Los Angeles,Placed,66000
236,Information Technology,University of Virginia,Placed,67000
237,Electrical Engineering,University of Texas--Austin,Placed,68000
238,Mechanical Engineering,University of Pennsylvania,Not Placed,0
239,Electronics and Communication,University of Washington,Placed,67000
240,Computer Science,University of California--Berkeley,Placed,66000
241,Information Technology,University of Illinois--Urbana-Champaign,Placed,65000
242,Electrical Engineering,University of Colorado--Boulder,Placed,66000
243,Mechanical Engineering,University of North Carolina--Chapel Hill,Not Placed,0
244,Electronics and Communication,University of Maryland--College Park,Placed,63000
245,Computer Science,University of Michigan--Ann Arbor,Placed,64000
246,Information Technology,University of California--Los Angeles,Placed,66000
247,Electrical Engineering,University of Virginia,Placed,67000
248,Mechanical Engineering,University of Texas--Austin,Placed,68000
249,Electronics and Communication,University of Pennsylvania,Not Placed,0
250,Computer Science,University of Washington,Placed,67000
251,Information Technology,University of California--Berkeley,Placed,66000
252,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
253,Mechanical Engineering,University of Colorado--Boulder,Placed,66000
254,Electronics and Communication,University of North Carolina--Chapel Hill,Not Placed,0
255,Computer Science,University of Maryland--College Park,Placed,63000
256,Information Technology,University of Michigan--Ann Arbor,Placed,64000
257,Electrical Engineering,University of California--Los Angeles,Placed,66000
258,Mechanical Engineering,University of Virginia,Placed,67000
259,Electronics and Communication,University of Texas--Austin,Placed,68000
260,Computer Science,University of Pennsylvania,Not Placed,0
261,Information Technology,University of Washington,Placed,67000
262,Electrical Engineering,University of California--Berkeley,Placed,66000
263,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
264,Electronics and Communication,University of Colorado--Boulder,Placed,66000
265,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
266,Information Technology,University of Maryland--College Park,Placed,63000
267,Electrical Engineering,University of Michigan--Ann Arbor,Placed,64000
268,Mechanical Engineering,University of California--Los Angeles,Placed,66000
269,Electronics and Communication,University of Virginia,Placed,67000
270,Computer Science,University of Texas--Austin,Placed,68000
271,Information Technology,University of Pennsylvania,Not Placed,0
272,Electrical Engineering,University of Washington,Placed,67000
273,Mechanical Engineering,University of California--Berkeley,Placed,66000
274,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000
275,Computer Science,University of Colorado--Boulder,Placed,66000
276,Computer Science,University of California--San Diego,Placed,64000
277,Electrical Engineering,University of Texas--Austin,Placed,65000
278,Information Technology,University of California--Los Angeles,Placed,67000
279,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,68000
280,Computer Science,University of Pennsylvania,Not Placed,0
281,Electronics and Communication,University of Washington,Placed,67000
282,Information Technology,University of California--Berkeley,Placed,66000
283,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
284,Computer Science,University of Colorado--Boulder,Placed,66000
285,Electrical Engineering,University of North Carolina--Chapel Hill,Not Placed,0
286,Information Technology,University of Maryland--College Park,Placed,63000
287,Mechanical Engineering,University of Rochester,Placed,62000
288,Computer Science,University of California--Santa Cruz,Placed,60000
289,Electronics and Communication,University of Connecticut,Placed,61000
290,Information Technology,University of California--Riverside,Not Placed,0
291,Mechanical Engineering,University of Delaware,Placed,65000
292,Computer Science,University of California--San Francisco,Placed,66000
293,Electrical Engineering,University of Texas--Dallas,Placed,63000
294,Information Technology,University of Virginia,Placed,64000
295,Computer Science,University of California--Los Angeles,Placed,67000
296,Electronics and Communication,University of Michigan--Ann Arbor,Placed,68000
297,Information Technology,University of Pennsylvania,Not Placed,0
298,Mechanical Engineering,University of Washington,Placed,67000
299,Computer Science,University of California--Berkeley,Placed,66000
300,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000
301,Computer Science,University of Colorado--Boulder,Placed,66000
302,Electrical Engineering,University of North Carolina--Chapel Hill,Not Placed,0
303,Information Technology,University of Maryland--College Park,Placed,63000
304,Mechanical Engineering,University of Rochester,Placed,62000
305,Computer Science,University of California--Santa Cruz,Placed,60000
306,Electrical Engineering,University of Connecticut,Placed,61000
307,Information Technology,University of California--Riverside,Not Placed,0
308,Computer Science,University of Delaware,Placed,65000
309,Electronics and Communication,University of California--San Francisco,Placed,66000
310,Information Technology,University of Texas--Dallas,Placed,63000
311,Mechanical Engineering,University of Virginia,Placed,64000
312,Computer Science,University of California--Los Angeles,Placed,67000
313,Electronics and Communication,University of Michigan--Ann Arbor,Placed,68000
314,Computer Science,University of Pennsylvania,Not Placed,0
315,Electrical Engineering,University of Washington,Placed,67000
316,Information Technology,University of California--Berkeley,Placed,66000
317,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
318,Computer Science,University of Colorado--Boulder,Placed,66000
319,Electrical Engineering,University of North Carolina--Chapel Hill,Not Placed,0
320,Information Technology,University of Maryland--College Park,Placed,63000
321,Computer Science,University of Rochester,Placed,62000
322,Electronics and Communication,University of California--Santa Cruz,Placed,60000
323,Information Technology,University of Connecticut,Placed,61000
324,Mechanical Engineering,University of California--Riverside,Not Placed,0
325,Computer Science,University of Delaware,Placed,65000
326,Electronics and Communication,University of California--San Francisco,Placed,66000
327,Computer Science,University of Texas--Dallas,Placed,63000
328,Electrical Engineering,University of Virginia,Placed,64000
329,Information Technology,University of Michigan--Ann Arbor,Placed,67000
330,Mechanical Engineering,University of Pennsylvania,Not Placed,0
331,Computer Science,University of Washington,Placed,67000
332,Electrical Engineering,University of California--Los Angeles,Placed,66000
333,Information Technology,University of California--Berkeley,Placed,65000
334,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
335,Electronics and Communication,University of Colorado--Boulder,Placed,66000
336,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0
337,Mechanical Engineering,University of Maryland--College Park,Placed,63000
338,Computer Science,University of Rochester,Placed,62000
339,Electronics and Communication,University of California--Santa Cruz,Placed,60000
340,Computer Science,University of Connecticut,Placed,61000
341,Electrical Engineering,University of California--Riverside,Not Placed,0
342,Information Technology,,Placed,65000
343,Mechanical Engineering,University of California--San Francisco,Placed,66000
344,Computer Science,University of Texas--Dallas,Placed,63000
345,Electrical Engineering,University of Virginia,Placed,64000
346,Information Technology,University of Michigan--Ann Arbor,Placed,67000
347,Computer Science,University of Pennsylvania,Not Placed,0
348,Electronics and Communication,University of Washington,Placed,67000
349,Information Technology,University of California--Berkeley,Placed,66000
350,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
351,Computer Science,University of Colorado--Boulder,Placed,66000
352,Electronics and Communication,University of North Carolina--Chapel Hill,Not Placed,0
353,Computer Science,University of Maryland--College Park,Placed,63000
354,Electrical Engineering,University of Rochester,Placed,
355,Information Technology,University of California--Santa Cruz,Placed,60000
356,Mechanical Engineering,University of Connecticut,Placed,61000
357,Computer Science,University of California--Riverside,Not Placed,0
358,Electrical Engineering,University of Delaware,Placed,65000
359,Information Technology,University of California--San Francisco,Placed,66000
360,Computer Science,University of Texas--Dallas,Placed,63000
361,Electronics and Communication,University of Virginia,Placed,64000
362,Information Technology,University of Michigan--Ann Arbor,Placed,67000
363,Mechanical Engineering,University of Pennsylvania,Not Placed,0
364,Computer Science,University of Washington,Placed,67000
365,Electronics and Communication,University of California--Berkeley,Placed,66000
366,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
367,Electrical Engineering,University of Colorado--Boulder,Placed,NA
368,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0
369,Mechanical Engineering,University of Maryland--College Park,Placed,63000
370,Computer Science,University of Rochester,Placed,62000
371,Electrical Engineering,University of California--Santa Cruz,Placed,60000
372,Information Technology,University of Connecticut,Placed,61000
373,Computer Science,University of California--Riverside,Not Placed,0
374,Electronics and Communication,University of Delaware,Placed,65000
375,Information Technology,NA,Placed,66000
376,Mechanical Engineering,University of Texas--Dallas,Placed,63000
377,Computer Science,University of Michigan--Ann Arbor,Placed,64000
378,Electronics and Communication,University of Virginia,Placed,67000
379,Computer Science,University of California--Los Angeles,Placed,67000
380,Electrical Engineering,University of California--Berkeley,Placed,66000
381,Information Technology,University of Illinois--Urbana-Champaign,Placed,65000
382,Mechanical Engineering,University of Colorado--Boulder,Placed,66000
383,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
384,Electrical Engineering,University of Maryland--College Park,Placed,63000
385,Information Technology,University of Rochester,Placed,62000
386,Computer Science,University of California--Santa Cruz,Placed,60000
387,Electronics and Communication,University of Connecticut,Placed,61000
388,Information Technology,University of California--Riverside,Not Placed,0
389,Mechanical Engineering,University of Delaware,Placed,65000
390,Computer Science,University of California--San Francisco,Placed,66000
391,Electronics and Communication,University of Texas--Dallas,Placed,63000
392,Computer Science,University of Virginia,Placed,64000
393,Electrical Engineering,University of Michigan--Ann Arbor,Placed,67000
394,Information Technology,University of Pennsylvania,Not Placed,0
395,Mechanical Engineering,University of Washington,Placed,67000
396,Computer Science,University of California--Berkeley,Placed,66000
397,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
398,Information Technology,University of Colorado--Boulder,Placed,66000
399,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
400,Electronics and Communication,University of Maryland--College Park,Placed,63000
401,Information Technology,University of Rochester,Placed,62000
402,Mechanical Engineering,University of California--Santa Cruz,Placed,60000
403,Computer Science,University of Connecticut,Placed,61000
404,Electrical Engineering,University of California--Riverside,Not Placed,0
405,Computer Science,University of Delaware,Placed,65000
406,Electronics and Communication,University of California--San Francisco,Placed,66000
407,Information Technology,University of Texas--Dallas,Placed,63000
408,Mechanical Engineering,University of Virginia,Placed,64000
409,Computer Science,University of Michigan--Ann Arbor,Placed,67000
410,Electrical Engineering,University of Pennsylvania,Not Placed,0
411,Information Technology,University of Washington,Placed,67000
412,Computer Science,University of California--Berkeley,Placed,66000
413,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000
414,Information Technology,University of Colorado--Boulder,Placed,66000
415,Mechanical Engineering,University of North Carolina--Chapel Hill,Not Placed,0
416,Computer Science,University of Maryland--College Park,Placed,63000
417,Electronics and Communication,University of Rochester,Placed,62000
418,Computer Science,University of California--Santa Cruz,Placed,60000
419,Electrical Engineering,University of Connecticut,Placed,61000
420,Information Technology,University of California--Riverside,Not Placed,0
421,Mechanical Engineering,University of Delaware,Placed,65000
422,Computer Science,University of California--San Francisco,Placed,66000
423,Electrical Engineering,University of Texas--Dallas,Placed,63000
424,Information Technology,University of Virginia,Placed,64000
425,Computer Science,University of Michigan--Ann Arbor,Placed,67000
426,Electronics and Communication,University of Pennsylvania,Not Placed,0
427,Information Technology,University of Washington,Placed,67000
428,Mechanical Engineering,University of California--Berkeley,Placed,66000
429,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
430,Electronics and Communication,University of Colorado--Boulder,Placed,66000
431,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0
432,Electrical Engineering,University of Maryland--College Park,Placed,63000
433,Information Technology,University of Rochester,Placed,62000
434,Mechanical Engineering,University of California--Santa Cruz,Placed,60000
435,Computer Science,University of Connecticut,Placed,61000
436,Electrical Engineering,University of California--Riverside,Not Placed,0
437,Information Technology,University of Delaware,Placed,65000
438,Computer Science,University of California--San Francisco,Placed,66000
439,Electronics and Communication,University of Texas--Dallas,Placed,63000
440,Information Technology,University of Virginia,Placed,64000
441,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,67000
442,Computer Science,University of Pennsylvania,Not Placed,0
443,Electronics and Communication,University of Washington,Placed,67000
444,Computer Science,University of California--Berkeley,Placed,66000
445,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
446,Information Technology,University of Colorado--Boulder,Placed,66000
447,Mechanical Engineering,University of North Carolina--Chapel Hill,Not Placed,0
448,Computer Science,University of Maryland--College Park,Placed,63000
449,Electrical Engineering,University of Rochester,Placed,62000
450,Information Technology,University of California--Santa Cruz,Placed,60000
451,Computer Science,University of Connecticut,Placed,61000
452,Electronics and Communication,University of California--Riverside,Not Placed,0
453,Information Technology,University of Delaware,Placed,65000
454,Mechanical Engineering,University of California--San Francisco,Placed,66000
455,Computer Science,University of Texas--Dallas,Placed,63000
456,Electronics and Communication,University of Virginia,Placed,64000
457,Computer Science,University of Michigan--Ann Arbor,Placed,67000
458,Electrical Engineering,University of Pennsylvania,Not Placed,0
459,Information Technology,University of Washington,Placed,67000
460,Mechanical Engineering,University of California--Berkeley,Placed,66000
461,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
462,Electrical Engineering,University of Colorado--Boulder,Placed,66000
463,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0
464,Computer Science,University of Maryland--College Park,Placed,63000
465,Electronics and Communication,University of Rochester,Placed,62000
466,Information Technology,University of California--Santa Cruz,Placed,60000
467,Mechanical Engineering,University of Connecticut,Placed,61000
468,Computer Science,University of California--Riverside,Not Placed,0
469,Electronics and Communication,University of Delaware,Placed,65000
470,Computer Science,University of California--San Francisco,Placed,66000
471,Electrical Engineering,University of Texas--Dallas,Placed,63000
472,Information Technology,University of Virginia,Placed,64000
473,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,67000
474,Computer Science,University of Pennsylvania,Not Placed,0
475,Electrical Engineering,University of Washington,Placed,67000
476,Information Technology,University of California--Berkeley,Placed,66000
477,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
478,Electronics and Communication,University of Colorado--Boulder,Placed,66000
479,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0
480,Mechanical Engineering,University of Maryland--College Park,Placed,63000
481,Computer Science,University of Rochester,Placed,62000
482,Electronics and Communication,University of California--Santa Cruz,Placed,60000
483,Computer Science,University of Connecticut,Placed,61000
484,Electrical Engineering,University of California--Riverside,Not Placed,0
485,Information Technology,University of Delaware,Placed,65000
486,Mechanical Engineering,University of California--San Francisco,Placed,66000
487,Computer Science,University of Texas--Dallas,Placed,63000
488,Electrical Engineering,University of Virginia,Placed,64000
489,Information Technology,University of Michigan--Ann Arbor,Placed,67000
490,Computer Science,University of Pennsylvania,Not Placed,0
491,Electronics and Communication,University of Washington,Placed,67000
492,Information Technology,University of California--Berkeley,Placed,66000
493,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000
494,Computer Science,University of Colorado--Boulder,Placed,66000
495,Electronics and Communication,University of North Carolina--Chapel Hill,Not Placed,0
496,Computer Science,University of Maryland--College Park,Placed,63000
497,Electrical Engineering,University of Rochester,Placed,62000
498,Information Technology,University of California--Santa Cruz,Placed,60000
499,Mechanical Engineering,University of Connecticut,Placed,61000
500,Computer Science,University of California--Riverside,Not Placed,0
501,Electrical Engineering,University of Delaware,Placed,65000
502,Information Technology,University of California--San Francisco,Placed,66000
503,Computer Science,University of Texas--Dallas,Placed,63000
504,Electronics and Communication,University of Virginia,Placed,64000
505,Information Technology,University of Michigan--Ann Arbor,Placed,67000
506,Mechanical Engineering,University of Pennsylvania,Not Placed,0
507,Computer Science,University of Washington,Placed,67000
508,Electronics and Communication,University of California--Berkeley,Placed,66000
509,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000
510,Electrical Engineering,University of Colorado--Boulder,Placed,66000
511,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0
